id,created_at,text,fsq_id
51eaf4b9498e6234f11cf241,2013-07-20T20:36:09.000Z,"Hidden gem. Quiet, cozy, great place to work or just think. Has those leave an anonymous story boxes. Highly recommended. $6 for a delicious crepe, salad and big coffee.",4fd3a01be4b0540d9cb027ea
559af0d3498e36f8b8472dd2,2015-07-06T21:19:15.000Z,Strawberry dark chocolate crepe was awesome! Crepe was a chewy texture and cooked just right. Cappuccino was decent :) super cute decor and chill music.,4fd3a01be4b0540d9cb027ea
5423176c498e18c7f9d8d080,2014-09-24T19:11:40.000Z,"Get a Nutella crêpe, some jasmine tea, seat back, relax & enjoy their playlist of jazz divas (Ella Fitzgerald, Carla Bruni,...)",4fd3a01be4b0540d9cb027ea
5115c42ce4b05931d973e8b9,2013-02-09T03:36:12.000Z,This is such a great hidden gem. Great place to work because no one knows about it yet!,4fd3a01be4b0540d9cb027ea
553d4c5c498ece8bc90a8a90,2015-04-26T20:36:44.000Z,"Quiet, great crepes and tea. Perfect place to relax, read a book or study.",4fd3a01be4b0540d9cb027ea
56824dad498e5235f28d50b5,2015-12-29T09:09:01.000Z,Definitely a hidden gem. Fun drinks menu and the crepes are delish.,4fd3a01be4b0540d9cb027ea
54d940f1498e04e7e1c1ba54,2015-02-09T23:21:21.000Z,"It's true, this place is a hidden gem. Love the savoury crêpes, especially the meat lover.",4fd3a01be4b0540d9cb027ea
5008af4de4b0b96fdaba62c7,2012-07-20T01:07:25.000Z,"Try the terimayo crepe. Really yummy. One of these days I'll try a different one, but so far, I can't escape this one. :-)",4fd3a01be4b0540d9cb027ea
599dda880881585cc9222670,2017-08-23T19:42:00.000Z,"Great vibe for conversation, coffee, reading, relaxing and eating some crepes",4fd3a01be4b0540d9cb027ea
526b3fa211d24f4dced20f6c,2013-10-26T04:05:54.000Z,"Breakfast specials (ham/cheese + egg crepe, salad, tea/coffee) for $6!",4fd3a01be4b0540d9cb027ea
4ee31212a69d89905abb15e1,2011-12-10T08:02:26.000Z,Best service ever. Always happy when I walk out of this branch location:),4bc290d674a9a593788ed3f6
4c2e57b116adc928f9b2bb9c,2010-07-02T21:18:41.000Z,VanCity!!,4bc290d674a9a593788ed3f6
50ba968ce4b0e31c41c89b9b,2012-12-01T23:45:16.000Z,"Definitely the Royal Milk Tea Latte and Almond cheesecake. They also gave customers a small cheesecake treat to commemorate the Cafe's anniversary :) great service, with jazz music to boot!",4b1db335f964a520211424e3
54c54c66498e6e802dbfdc99,2015-01-25T20:04:54.000Z,Great food. Great drinks. Very unique menu. Don't listen to the reviews praising the Royal Milk Tea Latte. Its just a tea latte with honey. Not special. Their other drinks are great!,4b1db335f964a520211424e3
54727f4a498ec88c9ce14368,2014-11-24T00:43:54.000Z,So excellent.  It is a cozy cute café.  We went for breakfast and the food and service was great. I had a lavender tea latte that was so yummy,4b1db335f964a520211424e3
53e81ec3498e2f49d9df507f,2014-08-11T01:39:15.000Z,"I had the mini breakfast with half a waffle, and absolutely LOVED it. Great portions to give you a taste of everything",4b1db335f964a520211424e3
59e16ce47247507e0869cbcb,2017-10-14T01:48:20.000Z,Eggs Benny with smoked salmon on hashbrowns with a lavender tea latté - delicious👌 lovely atmosphere too!,4b1db335f964a520211424e3
581fb0aa38fa301aa11d2814,2016-11-06T22:37:30.000Z,Fun little cafe with western and traditional breakfasts. Definitely a favorite.,4b1db335f964a520211424e3
4e95e8177ee66177238e3fe8,2011-10-12T19:18:47.000Z,"Cute little Japanese cafe serves excellent lattes and all day breakfast! Try the eggs benny with smoked salmon.. The eggs are cooked to perfect soft, yolky perfection!",4b1db335f964a520211424e3
5266aae911d2324d2976d3ee,2013-10-22T16:42:17.000Z,Get the okonomiyaki pancake (split if in a group) and a royal milk tea. Surprisingly good greasy hash browns too.,4b1db335f964a520211424e3
